Participant ID,Usable,End Condition,Activity condition,Experimenter,Notes,EndGame,Survival,Evasion Strategy,Paid,
47,Yes,Warning,Supervision,DM,"P maintaining alertness through the supervision phase. P sees car on wrong side of highway. pulls over to right lane and disables AD, slows to 50. reenables AD in left lane after about 40s. P disabled AD when the nav alert sounded, braked, realized she would hit the blocker, and steered left to evade. hooray! a survivor!",,1,,paid,
50,Yes,No Warning,media,DM,"P wanted his hat, so he keeps the hat. ""egads"" this thing is sensitive. P keeps mumbling things but I can't really hear him. ""car doesn't have any lane sensor warning system"" ""it would be nice to have a visual GPS or something"" ahh i died! holy moly. didn't see it coming at all. ",no,0,none,paid,
51,Yes,Warning,Supervision,DM,"P going too fast on secondary road and having trouble through turns. keeping hands on wheel on highway. P was pretty bored but recovered well, turning to left to avoid blocker after evaluating turn to right",yes turned to left,1,brake then steer,paid,
52,Yes,No Warning,Supervision,DM,P sees car on wrong side of highway. P tracking trucks as he passes. P brakes and turns left upon seeing blocker,"yes, turned to left.",1,brake then steer,paid,
53,Yes,Warning,media,DM,"P had some trouble getting automated driving to start, but once she got it no problem. p noticed something and became very attentive to the road, probably just a glitch in the simulation. CLOS 18:30, back to movie after about 20s. head down passing trucks. P disabled AD when the alert sounded, braked successfully, probably would have been sideswiped by third truck but not fatal",probably... with damage/injury,0,brake with some steering,paid,
54,Yes,No Warning,media,DM,"P jumping around with the movie, but it should be ok. P sees car on wrong side of road. P noticed that AD turned off, but not sure if he noticed the truck before he passed through it. ",no,0,none,paid,
55,Yes,Warning,Supervision,DM,"there's somethng bumping around outside, seems to be making the P look around wondering what it is. attempted to brake but hit blocker",no,0,braking,paid,
56,Yes,No Warning,Supervision,SS,"Sim stutter happened frequently enough that it kept the participant awake. He displayed some signs of sleepiness early on, but that diminished considerably later on. Sleepiness came back. Noticed the trucks on the road.",Moved to the left side of the fallen truck. WHAT???? YEAH!!!,1,Brake and steer,paid,
57,Yes,Warning,media,SS,Participant kept glancing around while watching movie. Paid quite a bit of attention to the trucks as they appeared. Did not notice them in the rear view and yet somehow survived.,Started braking asap. Was able to steer into right lane after the last truck.,1,Brake and steer,paid,
59,Yes,Warning,Supervision,SS,"Participant held the steering wheel all the way and did not let go. suprisingly automation did not turn off. She kept dozing off a couple of times. Noticed the truck in the rear view. She is the perfect participant. She tried to go right, but couldn't and then made a conscious choice to go left. Email her and talk to her later. ","Brake and Steer. First went right, then went left immedaitely",1,Brake and steer,paid,
60,Yes,No Warning,Supervision,SS,Participant had a fun time adjusting to the sim. I had to correct the lane she was on. She had some trouble turning. She noticed the stuttering in the sim and the stuttering happened more than once. She kept talking to herself a few times. She was a little nervous when the trucks appeared. and almost took control.,Brake and Steer. Went left straight.,1,Brake and Steer,paid,
61,Yes,No Warning,media,SS,"Participant had glasses, but he took it off for the study. There is a chance that he might get a headache and take off the eye tracker. He tried to diable automation during the autonomous segment mostly because he was bored by using the steering wheel or the brake, but he wasn't able to. Missed the trucks as they came up completely. Didn't see them in the rear view mirror either.",No attempt made,0,None,paid,
